va_end,check here
thr_create,pthread_create
thr_exit,pthread_exit
tHR_join,pthread_join
thr_kill,pthread_kill
thr_self,pthread_self
thr_yield,sched_yield
tHR_getprio,pthread_getschedparam
thr_setprio,pthread_setschedparam
thr_getspecific,pthread_getspecific
thr_setspecific,pthread_setspecific
tHR_getconcurrency,pthread_getconcurrency
thr_setconcurrency,pthread_setconcurrency
thr_sigsetmask,pthread_sigmask
thr_keycreate,pthread_key_create
thr_suspend,N/A
thr_continue,N/A
mutex_lock,pthread_mutex_lock
mutex_unlock,pthread_mutex_unlock
mutex_trylock,pthread_mutex_trylock
mutex_init,pthread_mutex_init
mutex_destroy,pthread_mutex_destroy
cond_wait,pthread_cond_wait
cond_timedwait,pthread_cond_timedwait
cond_reltimedwait,N/A
cond_signal,pthread_cond_signal
cond_broadcast,pthread_cond_braodcast
cond_init,pthread_cond_init
cond_destroy,pthread_cond_destroy
rwlock_init,pthread_rwlock_init
rwlock_destroy,pthread_rwlock_destroy
rw_rdlock,pthread_rwlock_rdlock
rw_wrlock,pthread_rwlock_wrlock
rw_unlock,pthread_rwlock_unlock
rw_tryrdlock,pthread_rwlock_tryrdlock
rw_trywrlock,pthread_rwlock_trywrlock
sema_init,sem_init
sema_destroy,sem_destroy
sema_wait,sem_wait
sema_post,sem_post
sema_trywait,sem_trywait
PTHREAD_SCOPE_ PROCESS,PTHREAD_SCOPE_ SYSTEM
PTHREAD_EXPLICIT_SCHED,PTHREAD_INHERIT_SCHED
TRAP_BRKPT,trAP_BRKPT
libdbm,libdb
libbsm,libc
libsocket,libc
libnsl,libc
librpcsvc,libc
rtprio,libc

